País,Población,Densidad,Superficie,PBI,Continente
Puerto Rico,3057311,335.8,9104,113434,América del Norte
Armenia,2989091,100.5,29743,19513,Asia
Jamaica,2820982,256.7,10991,17097,América del Norte
Namibia,2777232,3.4,824292,12607,África
Lithuania,2655755,40.7,65300,70878,Europa
Qatar,2532104,218.5,11586,237101,Asia
The Gambia,2468569,218.5,11300,2231,África
Botswana,2417596,4.2,581730,20352,África
Gabon,2397368,9,267667,20132,África
Lesotho,2210646,72.8,30355,2287,África
Slovenia,2099790,103.6,20273,59981,Europa
Latvia,1821750,28.2,64589,40876,Europa
Equatorial Guinea,1737695,61.9,28051,11767,África
Bahrain,1553886,2044.6,760,44382,Asia
Trinidad y Tobago,1407460,274.5,5128,30053,América del Norte
Mauritius,1309448,641.9,2040,12898,Seven seas (open ocean)
Cyprus,1308120,141.4,9251,29210,Asia
Estonia,1202762,26.6,45228,38049,Europa
Eswatini,1130043,65.1,17364,4326,África
Djibouti,976143,42.1,23200,4003,África
Fiji,947760,51.9,18274,4979,Oceanía
Comoros,888378,397.5,2235,1246,África
Bhutan,876181,22.8,38394,2898,Asia
Guyana,791739,3.7,214969,14718,América del Sur
Solomon Islands,714766,24.7,28896,1597,Oceanía
Luxembourg,660924,255.6,2586,81530,Europa
Macau,639971,22856.1,28,24042,Asia
Suriname,639759,3.9,163820,3620,América del Sur
Cape Verde,603901,149.7,4033,2314,África
Montenegro,602445,43.6,13812,6229,Europa
Maldives,521021,1748.4,298,6170,Seven seas (open ocean)
Brunei,484991,84.1,5765,16681,Asia
Malta,467138,1478.3,316,18100,Europa
Belize,419137,18.3,22966,2830,América del Norte
Guadeloupe,378561,232.5,1628,9462,América del Norte
Iceland,360872,3.5,103000,28064,Europa
The Bahamas,358508,25.8,13880,12897,América del Norte
Vanuatu,313046,25.7,12189,985,Oceanía
Barbados,303431,705.7,430,5699,América del Norte
French Polynesia,301488,72.4,4167,5814,Oceanía
New Caledonia,300682,16.2,18575,9623,Oceanía
Samoa,207501,73.3,2831,857,Oceanía
Saint Lucia,167591,272.1,616,2165,América del Norte
Aruba,123702,687.2,180,3544,América del Norte
Kiribati,115372,142.3,811,223,Oceanía
Grenada,114299,332.3,344,1192,América del Norte
Tonga,105221,140.9,747,488,Oceanía
Antigua y Barbuda,101489,229.1,443,1770,América del Norte
Seychelles,97617,214.5,455,1994,Seven seas (open ocean)
Andorra,85468,182.6,468,3376,Europa
Marshall Islands,80966,447.3,181,279,Oceanía
Dominica,74656,99.4,751,612,América del Norte
Bermuda,72576,1344,54,7546,América del Norte
Cayman Islands,65483,248,264,6281,América del Norte
Greenland,57777,0,2166086,2926,América del Norte
American Samoa,44620,199.2,224,709,Oceanía
Liechtenstein,39993,250,160,7757,Europa
San Marino,34892,572,61,1780,Europa
Monaco,31597,15798.5,2,8772,Europa
Palau,21779,47.4,459,225,Oceanía
Tuvalu,11639,447.7,26,59,Oceanía
Nauru,9852,469.1,21,147,Oceanía
